,FirstObjectDistance_X,FirstObjectDistance_Y,SecondObjectDistance_X,SecondObjectDistance_Y,ThirdObjectDistance_X,ThirdObjectDistance_Y,FourthObjectDistance_X,FourthObjectDistance_Y,VehicleSpeed,FirstObjectSpeed_X,FirstObjectSpeed_Y,SecondObjectSpeed_X,SecondObjectSpeed_Y,ThirdObjectSpeed_X,ThirdObjectSpeed_Y,FourthObjectSpeed_X,FourthObjectSpeed_Y,YawRate,Timestamp
33,1670,190,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.44078008
34,1660,188,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.53955946
35,1650,186,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.63787579
36,1640,184,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.73644914
37,1630,182,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.83402539
38,1620,180,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.93292878
39,1610,178,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.02924889
40,1600,176,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.12533499
41,1590,174,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.22271922
42,1580,172,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.31860629
43,1570,170,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.41643956
44,1560,168,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.51311938
45,1550,166,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.61123549
46,1540,164,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.70954061
47,1530,162,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.80781673
48,1520,160,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,37.90438466
49,1510,158,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.00178369
50,1500,156,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.10014982
51,1490,154,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.19873598
52,1480,152,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.29560994
53,1470,150,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.39256191
54,1460,148,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.48997618
55,1450,146,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.58919312
56,1440,144,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.68567678
57,1430,142,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.78309553
58,1420,140,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.87996123
59,1410,138,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,38.97880013
60,1400,136,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.07716198
61,1390,134,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.17690497
62,1380,132,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.27224252
63,1370,130,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.36804211
64,1360,128,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.46577553
65,1350,126,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.56269102
66,1340,124,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.65978652
67,1330,122,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.75720407
68,1320,120,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.8544706
69,1310,118,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,39.94922883
70,1300,116,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.04657137
71,1290,114,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.14370288
72,1280,112,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.24026833
73,1270,110,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.33761086
74,1260,108,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.43427431
75,1250,106,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.52990111
76,1240,104,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.62762115
77,1230,102,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.72474813
78,1220,100,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.82077098
79,1210,98,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,40.91775794
80,1200,96,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.01400082
81,1190,94,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.11128581
82,1180,92,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.2085308
83,1170,90,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.30605482
84,1160,88,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.40316979
85,1150,86,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.50069501
86,1140,84,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.59760025
87,1130,82,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.69664374
88,1120,80,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.79297791
89,1110,78,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.8903072
90,1100,76,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,41.98650535
91,1090,74,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.08394165
92,1080,72,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.181794
93,1070,70,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.27903028
94,1060,68,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.3749504
95,1050,66,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.47226459
96,1040,64,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.56916368
97,1030,62,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.66425679
98,1020,60,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.76037589
99,1010,58,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.855661
100,1000,56,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,42.9513741
101,990,54,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.04798919
102,980,52,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.14414829
103,970,50,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.23993939
104,960,48,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.33654648
105,950,46,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.43366977
106,940,44,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.530729
107,930,42,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.62825127
108,920,40,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.72496447
109,910,38,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.82206471
110,900,36,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,43.91952797
111,890,34,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.01750828
112,880,32,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.11489154
113,870,30,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.21336089
114,860,28,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.31000209
115,850,26,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.4067583
116,840,24,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.50369619
117,830,22,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.60215108
118,820,20,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.6995819
119,810,18,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.79639366
120,800,16,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.89329643
121,790,14,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,44.99037622
122,780,12,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.08531583
123,770,10,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.1822276
124,760,8,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.27928338
125,750,6,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.37728624
126,740,4,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.47557392
127,730,2,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.57379434
128,720,0,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.67141572
129,710,-2,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.76889409
130,700,-4,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.86665148
131,690,-6,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,45.96277374
132,680,-8,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.05998409
133,670,-10,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.15730044
134,660,-12,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.25427277
135,650,-14,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.35140011
136,640,-16,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.44857406
137,630,-18,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.54660815
138,620,-20,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.64405221
139,610,-22,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.74047023
140,600,-24,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.83712225
141,590,-26,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,46.93500234
142,580,-28,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.03201038
143,570,-30,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.12885341
144,560,-32,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.22367634
145,550,-34,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.32028636
146,540,-36,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.41629035
147,530,-38,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.51380813
148,520,-40,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.60835402
149,510,-42,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.70360496
150,500,-44,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.79920592
151,490,-46,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.89728207
152,480,-48,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,47.99494418
153,470,-50,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.09252829
154,460,-52,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.18837527
155,450,-54,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.28566136
156,440,-56,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.38253141
157,430,-58,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.48010307
158,420,-60,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.57790732
159,410,-62,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.67592458
160,400,-64,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.77374382
161,390,-66,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.87099701
162,380,-68,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,48.96769316
163,370,-70,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.06370225
164,360,-72,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.16114447
165,350,-74,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.2589087
166,340,-76,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.357319
167,330,-78,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.45586778
168,320,-80,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.55518302
169,310,-82,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.65253514
170,300,-84,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.74985426
171,290,-86,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.84701437
172,280,-88,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,49.94247437
173,270,-90,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.03646027
174,260,-92,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.1322483
175,250,-94,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.22880436
176,240,-96,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.32491141
177,230,-98,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.42124446
178,220,-100,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.51743698
179,210,-102,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.61348868
180,200,-104,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.70804426
181,190,-106,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.80327589
182,180,-108,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.90060668
183,170,-110,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,50.99495024
184,160,-112,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.08970884
185,150,-114,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.18447743
186,140,-116,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.28050512
187,130,-118,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.37686184
188,120,-120,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.47433552
189,110,-122,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.57387018
190,100,-124,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.67407089
191,90,-126,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.77132238
192,80,-128,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.86846386
193,70,-130,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,51.9651993
194,60,-132,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.06231378
195,50,-134,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.15755811
196,40,-136,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.25319347
197,30,-138,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.34996892
198,20,-140,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.44636102
199,10,-142,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.54290532
200,0,-144,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.63953062
201,-10,-146,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.73634993
202,-20,-148,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.83208719
203,-30,-150,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,52.9269744
204,-40,-152,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.02234663
205,-50,-154,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.12096104
206,-60,-156,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.22084653
207,-70,-158,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.31756583
208,-80,-160,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.41192101
209,-90,-162,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.50771477
210,-100,-164,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.60049625
211,-110,-166,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.69602087
212,-120,-168,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.78897435
213,-130,-170,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.87910771
214,-140,-172,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,53.97728145
215,-150,-174,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.07488816
216,-160,-176,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.17462798
217,-170,-178,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.27285872
218,-180,-180,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.37240953
219,-190,-182,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.47133978
220,-200,-184,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.5701902
221,-210,-186,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.6675895
222,-220,-188,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.76716498
223,-230,-190,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.86491231
224,-240,-192,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,54.96269664
225,-250,-194,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.05993392
226,-260,-196,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.15755023
227,-270,-198,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.25329039
228,-280,-200,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.34776244
229,-290,-202,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.44176047
230,-300,-204,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.53716579
231,-310,-206,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.63280714
232,-320,-208,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.73224582
233,-330,-210,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.82760615
234,-340,-212,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,55.92456061
235,-350,-214,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.02607147
236,-360,-216,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.12469008
237,-370,-218,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.21725916
238,-380,-220,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.30844212
239,-390,-222,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.40174526
240,-400,-224,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.49473612
241,-410,-226,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.58868543
242,-420,-228,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.68156263
243,-430,-230,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.77664705
244,-440,-232,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.87228653
245,-450,-234,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,56.96704692
246,-460,-236,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.0607832
247,-470,-238,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.15687872
248,-480,-240,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.25282823
249,-490,-242,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.35067192
250,-500,-244,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.44524427
251,-510,-246,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.54317183
252,-520,-248,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.63780307
253,-530,-250,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.73073514
254,-540,-252,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.82338419
255,-550,-254,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,57.91626126
256,-560,-256,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.01101851
257,-570,-258,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.10231242
258,-580,-260,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.19583355
259,-590,-262,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.28757351
260,-600,-264,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.38161769
261,-610,-266,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.47698471
262,-620,-268,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.57379853
263,-630,-270,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.6678151
264,-640,-272,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.76085758
265,-650,-274,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.85881351
266,-660,-276,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,58.95578334
267,-670,-278,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.05522941
268,-680,-280,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.15519352
269,-690,-282,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.25531164
270,-700,-284,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.35459769
271,-710,-286,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.45591683
272,-720,-288,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.55503138
273,-730,-290,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.65547899
274,-740,-292,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.75327647
275,-750,-294,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.85549216
276,-760,-296,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,59.95601077
277,-770,-298,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.06023855
278,-780,-300,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.16428133
279,-790,-302,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.26913314
280,-800,-304,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.37328691
281,-810,-306,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.47632914
282,-820,-308,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.57786151
283,-830,-310,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.68190314
284,-840,-312,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.78866604
285,-850,-314,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.89258265
286,-860,-316,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,60.99932656
287,-870,-318,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,61.10280513
288,-880,-320,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,61.20458752
289,-890,-322,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,61.30554183
290,-900,-324,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,61.40669016
291,-910,-326,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,61.50902834
